Entry_Number,Description,Classification,Weight_g,Store_Location,Page
Entry-477-250,"Investigators observed variousTHCIPsilocybin products displayedthroughoutthe storeforpatrons ofthe establishment forsale. As investigators examined each item, they observed various levels ofTHC percentages well above thetotalTHC limit. In one ofthe display cases, investigatorslocated ziplocbaggies c",Likely Cannabis,3.5,forpatrons ofthe establishment,477
Entry-477-251,"establishment forsale. As investigators examined each item, they observed various levels ofTHC percentages well above thetotalTHC limit. In one ofthe display cases, investigatorslocated ziplocbaggies containing eighths (3.5grams) ofcanabis consistent withwhat was locatedin thebackroomnext to the emp",Likely Cannabis,3.5,,477
Entry-477-252,"well above thetotalTHC limit. In one ofthe display cases, investigatorslocated ziplocbaggies containing eighths (3.5grams) ofcanabis consistent withwhat was locatedin thebackroomnext to the empy ziploc baggies. All of",Likely Cannabis,3.5,,477
Entry-477-253,(3.5grams) ofcanabis consistent withwhat was locatedin thebackroomnext to the empy ziploc baggies. All of,Likely Cannabis,3.5,,477
Entry-477-254,"investigators learnedthey obtained their Cannabis, THC andpsylocibin from various distributors to include Cosmic Distro, WMD,American HempDistributor, Demand Vape and Cookies. Another subject described byMEHMOOD was a subjectknown as the""Flower Guy"", a distributor from Pennsylvania. The ""FlowerGuy"" ",Edible,,,477
Entry-477-255,"HempDistributor, Demand Vape and Cookies. Another subject described byMEHMOOD was a subjectknown as the""Flower Guy"", a distributor from Pennsylvania. The ""FlowerGuy"" would deliver directly to thestore with cannabis packagedin the large, heat-sealed bags. Once they receive the delivery these large, h",Edible,3.5,with cannabis packagedin the l,477
Entry-477-256,"described byMEHMOOD was a subjectknown as the""Flower Guy"", a distributor from Pennsylvania. The ""FlowerGuy"" would deliver directly to thestore with cannabis packagedin the large, heat-sealed bags. Once they receive the delivery these large, heat-sealed bags would be opened and repackaged into eighth",Likely Cannabis,3.5,with cannabis packagedin the l,477
Entry-477-257,"distributor from Pennsylvania. The ""FlowerGuy"" would deliver directly to thestore with cannabis packagedin the large, heat-sealed bags. Once they receive the delivery these large, heat-sealed bags would be opened and repackaged into eighths (3.5grams). Investigators further learnedfrom MEHMOOD thatt",Likely Cannabis,3.5,with cannabis packagedin the l,477
Entry-477-258,"to thestore with cannabis packagedin the large, heat-sealed bags. Once they receive the delivery these large, heat-sealed bags would be opened and repackaged into eighths (3.5grams). Investigators further learnedfrom MEHMOOD thatthe store hadrecently started selling ounces (28 grams) of 202500121309",Likely Cannabis,3.5,with cannabis packagedin the l,477
Entry-477-259,"they receive the delivery these large, heat-sealed bags would be opened and repackaged into eighths (3.5grams). Investigators further learnedfrom MEHMOOD thatthe store hadrecently started selling ounces (28 grams) of 202500121309 Page 6of9 477",Likely Cannabis,3.5,hadrecently started selling ou,477
Entry-478-260,the THC percentages as being within range. RANA had onlymetthe ownerofthe businessone time since being employed. RANA confirmed the storehad only recently begunselling ounces ofcannabis for$119.00 about 3 weeks ago. RANA was unaware ofall thevendors utilized by thebusiness. Throughoutthis encounterb,Likely Cannabis,,had only recently begunselling,478
Entry-478-261,employed. RANA confirmed the storehad only recently begunselling ounces ofcannabis for$119.00 about 3 weeks ago. RANA was unaware ofall thevendors utilized by thebusiness. Throughoutthis encounterbothemployees werecooperative withLawEnforcementduring this investigation. Employees wereprovided withco,Likely Cannabis,,had only recently begunselling,478
Entry-478-262,Throughoutthis encounterbothemployees werecooperative withLawEnforcementduring this investigation. Employees wereprovided withcopiesofthesearchwarrant andsignedthe Harford County Sheriff's Office,Likely Cannabis,,,478
Entry-478-263,Employees wereprovided withcopiesofthesearchwarrant andsignedthe Harford County Sheriff's Office,Likely Cannabis,,,478
Entry-478-264,Misc. THC Carts,Cartridge,,,478
Entry-478-265,Psylocibin (Shrooms) Edibles/Gummies,Edible,,,478
Entry-478-266,Pre-Rolled MarijuanaJoint,Preroll,,,478
Entry-478-267,Pre-Packaged Marijuana 202500121309 Page 7of9 478,Likely Cannabis,,,478
Entry-479-268,THC Edibles/Gummies,Edible,,,479
EV-25,"3 bag containing three samples of THC Dabs EV-25- 307:?:,",Concentrate,,,486
Entry-486-270,2 bag containing threesamples ofsuspected Psylocibin (Shrooms) Edibles/GummiesfV•l.5 .. )0J.,Edible,,,486
Entry-486-273,"5 bag containing three samples of Pre-Packaged Cannabis EV?7_<; ß07S - 6 bag containing three samples of Loose Cannabis ç:v.- ?Pi'- ?n 7/o 7 bag containing three samples THC Edibles/ Gummies r;.v,J2. t:;,.,?7,,()77",Edible,,,486
Entry-486-274,"6 bag containing three samples of Loose Cannabis ç:v.- ?Pi'- ?n 7/o 7 bag containing three samples THC Edibles/ Gummies r;.v,J2. t:;,.,?7,,()77",Edible,,,486
Entry-486-275,"7 bag containing three samples THC Edibles/ Gummies r;.v,J2. t:;,.,?7,,()77",Edible,,,486
fV 25,4 bag containing three samples of Cannabis Joints fV 25- ?n71.J .. 5 bag containing three samples of Pre-Packaged Cannabis EV?7_<; ß07S - 6 bag containing three samples of Loose Cannabis ç:v.- ?Pi'- ?n 7/o,Preroll,,,486
w11,1 bag containing three samples ofsuspected THC CartridgesEv42s?w11 2 bag containing threesamples ofsuspected Psylocibin (Shrooms) Edibles/GummiesfV•l.5 .. )0J.,Cartridge,,,486
Entry-503-276,"*Display Casewith Cannabis* *Display CasewithTHC Carts/Psilocybin* *Wall Display Psilocybin Gummies* Investigators observed variousTHC/Psilocybinproducts displayed throughout the store for patrons ofthe establishmentfor sale. As investigators examined each item, they observed various levelsofTHC per",Cartridge,3.5,for patrons ofthe establishmen,503
Entry-503-277,"Investigators observed variousTHC/Psilocybinproducts displayed throughout the store for patrons ofthe establishmentfor sale. As investigators examined each item, they observed various levelsofTHC percentages well abovethe total THC limit. Inone ofthe display cases, investigators located ziploe baggi",Likely Cannabis,3.5,for patrons ofthe establishmen,503
Entry-503-278,"establishmentfor sale. As investigators examined each item, they observed various levelsofTHC percentages well abovethe total THC limit. Inone ofthe display cases, investigators located ziploe baggies containing eighths (3.5grams) ofcanabis consistentwith whatwas located in the backroom next to the ",Likely Cannabis,3.5,,503
Entry-503-279,"well abovethe total THC limit. Inone ofthe display cases, investigators located ziploe baggies containing eighths (3.5grams) ofcanabis consistentwith whatwas located in the backroom next to the empy ziploc baggies. All of",Likely Cannabis,3.5,,503
Entry-503-280,(3.5grams) ofcanabis consistentwith whatwas located in the backroom next to the empy ziploc baggies. All of,Likely Cannabis,3.5,,503
Entry-503-281,"investigators learned they obtained theirCannabis, THC and psylocibin from various distributorsto include Cosmic Distro, WMD, American HempDistributor, Demand Vape and Cookies. Another subject described by MEHMOOD was asubject known as the ""FlowerGuy"", a distributorfrom Pennsylvania. The ""Flower Guy",Edible,,,503
Entry-503-282,"HempDistributor, Demand Vape and Cookies. Another subject described by MEHMOOD was asubject known as the ""FlowerGuy"", a distributorfrom Pennsylvania. The ""Flower Guy"" would deliverdirectly to the store with cannabis packaged inthe large, heat-sealed bags. Once they receivethe deliverythese large, he",Edible,3.5,with cannabis packaged inthe l,503
Entry-503-283,"described by MEHMOOD was asubject known as the ""FlowerGuy"", a distributorfrom Pennsylvania. The ""Flower Guy"" would deliverdirectly to the store with cannabis packaged inthe large, heat-sealed bags. Once they receivethe deliverythese large, heat-sealed bags wouldbe opened and repackaged into eighths ",Likely Cannabis,3.5,with cannabis packaged inthe l,503
Entry-503-284,"distributorfrom Pennsylvania. The ""Flower Guy"" would deliverdirectly to the store with cannabis packaged inthe large, heat-sealed bags. Once they receivethe deliverythese large, heat-sealed bags wouldbe opened and repackaged into eighths (3.5grams). Investigators furtherlearnedfrom MEHMOOD thatthe s",Likely Cannabis,3.5,with cannabis packaged inthe l,503
Entry-503-285,"to the store with cannabis packaged inthe large, heat-sealed bags. Once they receivethe deliverythese large, heat-sealed bags wouldbe opened and repackaged into eighths (3.5grams). Investigators furtherlearnedfrom MEHMOOD thatthe store had recently started selling ounces (28 grams) of 202500121309 P",Likely Cannabis,3.5,with cannabis packaged inthe l,503
Entry-503-286,"they receivethe deliverythese large, heat-sealed bags wouldbe opened and repackaged into eighths (3.5grams). Investigators furtherlearnedfrom MEHMOOD thatthe store had recently started selling ounces (28 grams) of 202500121309 Page6of8 503",Likely Cannabis,3.5,had recently started selling o,503
Entry-504-287,theTHC percentages as beingwithin range. RANA had only metthe ownerofthe business onetime since being employed. RANA confirmedthe store had only recently begun selling ounces ofcannabis for$119.00 about3 weeks ago. RANA was unaware ofall the vendors utilized by the business. Throughoutthis encounter,Likely Cannabis,,had only recently begun sellin,504
Entry-504-288,employed. RANA confirmedthe store had only recently begun selling ounces ofcannabis for$119.00 about3 weeks ago. RANA was unaware ofall the vendors utilized by the business. Throughoutthis encounter bothemployees were cooperative with LawEnforcementduringthis investigation. Employees wereprovidedwit,Likely Cannabis,,had only recently begun sellin,504
Entry-504-289,Throughoutthis encounter bothemployees were cooperative with LawEnforcementduringthis investigation. Employees wereprovidedwithcopies ofthe searchwarrant and signed the Harford County Sheriff's Office,Likely Cannabis,,,504
Entry-504-290,Employees wereprovidedwithcopies ofthe searchwarrant and signed the Harford County Sheriff's Office,Likely Cannabis,,,504
Entry-504-291,Misc. THC Carts,Cartridge,,,504
Entry-504-292,Psylocibin {Shrooms) Edibles /Gummies,Edible,,,504
Entry-504-293,Pre-Rolled MariiuanaJoint,Preroll,,,504
Entry-505-294,THC Edibles/ Gummies,Edible,,,505
EV-25,2 Two Pre-Rolled Cigarettes Containing Suspected Cannabis EV-25-1870,Preroll,,,509
Entry-509-295,1 Multi-ColorContainerLabeledCurevanaTHC-AFlowerWhiteRuntzContainingLeafyGreenSubstanceEV-25-1869,Likely Cannabis,,,509
Entry-510-298,"Cannabis that waspurchasedfromSmokeCityonThursday,Afí;f 03rd,2025, testedforTetrahydrocannabinol (THC) content. DetectiveArmigermet with AgentMangold, who would conductthe test. Thecannabi as testedutilizingthe LightLab3 CannabisAnalyzer. As a result ofthetest, thepurchasedCannabistestedat ato TH ev",Likely Cannabis,,,510
Entry-510-299,"LightLab3 CannabisAnalyzer. As a result ofthetest, thepurchasedCannabistestedat ato TH eve! of8.7%THC, all? whichrt-'1:??;mit which is ?eas•5· results fo. specific details. Detective P. Armiger#160 Corporal Wolfe#592 ergeant DeVeau #497 Page 1",Likely Cannabis,,,510
Entry-522-300,1 Three Pre-Rolled Cigarettes Containing Suspected Cannabis,Preroll,,,522
Entry-523-301,THC blunt window,Preroll,,,523
Entry-524-302,"include boxesofprerolls, gummiesand vapes. 202500121189 524",Edible,,,524
Entry-529-304,Pre rolled THC cigarettes: 373.5 grams Cannabis (flower): 613.5 grams DABS (concentrated oil cannabis): 56 grams,Concentrate,373.5,,529
Entry-529-305,Cannabis (flower): 613.5 grams DABS (concentrated oil cannabis): 56 grams THC vapes/carts: 767 grams,Concentrate,613.5,,529
Entry-529-306,DABS (concentrated oil cannabis): 56 grams THC vapes/carts: 767 grams THC Gummies: 345.9 grams,Concentrate,56.0,,529
Entry-529-307,THC vapes/carts: 767 grams THC Gummies: 345.9 grams 202500121189,Cartridge,767.0,,529
Entry-529-308,THC Gummies: 345.9 grams 202500121189 529,Edible,345.9,,529
S,TOTAL WEIGHTS OF THC/PSJLOCYBIN ITEMS: Psilocybin: 23.8 grams Pre rolled THC cigarettes: 373.5 grams,Preroll,23.8,,529
Entry-530-309,withemployee GuilhermeSousa.,Likely Cannabis,,,530
Entry-539-310,Drua Chemistrv THC percentage CrimeLADU•0nty: LIST OF ARTICLES FSDExhibit#,Likely Cannabis,,,539
Entry-539-311,1 bag containing two samplecontainers of suspectedTHC flower 2 bag containing two sample hypridstlllzypre rolled the,Preroll,,,539
Entry-539-312,2 bag containing two sample hypridstlllzypre rolled the,Preroll,,,539
Entry-539-314,4 bag containing two sample Hash Hole pre rolled the ' 5 bag containing two sample THC dabs,Concentrate,,,539
Entry-539-315,5 bag containing two sample THC dabs,Concentrate,,,539
cun01,3 bag containing two sample cookie berry pre rolled the FV 1 cun01 4 bag containing two sample Hash Hole pre rolled the ' 5 bag containing two sample THC dabs,Concentrate,,,539
Entry-551-316,THC blunt window,Preroll,,,551
Entry-552-317,"includeboxes ofprerolls, gummies and vapes. 202500121189 552",Edible,,,552
Entry-557-319,Pre rolled THC cigarettes: 373.5 grams Cannabis (flower): 613.5 grams DABS (concentrated oil cannabis): 56 grams,Concentrate,373.5,,557
Entry-557-320,Cannabis (flower): 613.5 grams DABS (concentrated oil cannabis): 56 grams THC vapes/carts: 767 grams,Concentrate,613.5,,557
Entry-557-321,DABS (concentrated oil cannabis): 56 grams THC vapes/carts: 767 grams THC Gummies: 345.9 grams,Concentrate,56.0,,557
Entry-557-322,THC vapes/carts: 767 grams THC Gummies: 345.9 grams 202500121189,Cartridge,767.0,,557
Entry-557-323,THC Gummies: 345.9 grams 202500121189 557,Edible,345.9,,557
S,TOTAL WEIGHTS OF THC/PSILOCYBIN ITEMS: Psilocybin: 23.8 grams Pre rolled THC cigarettes: 373.5 grams,Preroll,23.8,,557
Entry-558-324,withemployee Guilherme Sousa.,Likely Cannabis,,,558
s,All items were properly packaged and placed into property. Samples of the suspected THC items and,Likely Cannabis,,,558
Entry-560-326,Drug Chemistry THC percentage CrimeLabUseOnly: LIST OF ARTICLES FSD Exhibit#,Likely Cannabis,,,560
Entry-560-327,2 bag containing three samples the gummies 3 bag containing three samples the cartridge,Cartridge,,,560
Entry-560-328,3 bag containing three samples the cartridge,Cartridge,,,560
Entry-561-329,1 bag containing three samples the cartridge,Cartridge,,,561
Entry-562-330,1 bag containing two sample containers ofsuspectedTHC flower 2 bag containing two sample hyprid stlllzy pre rolled the 3 bag containing two sample cookie berry pre rolled the 4 bag containing two sample Hash Hole pre rolled the 5 bag containing two sample THC dabs,Concentrate,,,562
Entry-562-331,2 bag containing two sample hyprid stlllzy pre rolled the 3 bag containing two sample cookie berry pre rolled the 4 bag containing two sample Hash Hole pre rolled the 5 bag containing two sample THC dabs,Concentrate,,,562
Entry-562-332,3 bag containing two sample cookie berry pre rolled the 4 bag containing two sample Hash Hole pre rolled the 5 bag containing two sample THC dabs,Concentrate,,,562
Entry-562-333,4 bag containing two sample Hash Hole pre rolled the 5 bag containing two sample THC dabs,Concentrate,,,562
Entry-562-334,5 bag containing two sample THC dabs,Concentrate,,,562
Entry-563-335,1 bag containing three samples the gummies,Edible,,,563
Entry-564-336,"Psilocybin Mushrooms (Vape, Chocolate barandgum,nies) (E) Oves Oves",Edible,,,564
Entry-564-337,"ore rolled cannabisinvarious oackacíno:... OYes OVes 2 :n L-··l?h,.,lo? 1 $0 (e) ŒJNo (&]No ApproximateWeight= 373.5 grams",Likely Cannabis,373.5,,564
Entry-564-338,Flowercannabisinvariousoackaaina located in box OYes OYes 3 labeled 1 $0 (e) @No (x]No ApproximateWeight= 613.5grams,Likely Cannabis,613.5,,564
Entry-564-339,"Cannabis dabsinvariousoackaaina :.- t-,-' in hnv .. OYes OYes 4 1 $0 (e) li)No li)No ApproximateWeight= !Jograms",Concentrate,,,564
Entry-587-340,Drug Chemistry THCpercentage Crime LabUseOnly: LIST OF ARTICLES FSD Exhibit#,Likely Cannabis,,,587
Entry-587-341,1 bag containing two sample containers of suspected THC flower 2 bag containing two sample hyprid stlllzy pre rolled the 3 bag containing two sample cookie berry pre rolled the AJ 1JU.00\ ' 4 bag containing two sample Hash Hole pre rolled the,Concentrate,,,587
Entry-587-342,2 bag containing two sample hyprid stlllzy pre rolled the 3 bag containing two sample cookie berry pre rolled the AJ 1JU.00\ ' 4 bag containing two sample Hash Hole pre rolled the 5 bag containing two sample THC dabs,Concentrate,,,587
Entry-587-343,3 bag containing two sample cookie berry pre rolled the AJ 1JU.00\ ' 4 bag containing two sample Hash Hole pre rolled the 5 bag containing two sample THC dabs,Concentrate,,,587
Entry-587-344,4 bag containing two sample Hash Hole pre rolled the 5 bag containing two sample THC dabs,Concentrate,,,587
Entry-587-345,5 bag containing two sample THC dabs,Concentrate,,,587
Entry-588-346,Drug Chemistry THC percentage trima LabùseOnly: LIST OF ARTICLES FSD Exhibit# Hem# Description,Likely Cannabis,,,588
Entry-588-347,"2 bag containing three samples the gummies rv 1 lt Inf ..,_. 3 bag containing three samples the cartridge - '",Cartridge,,,588
Entry-588-348,"3 bag containing three samples the cartridge - ' """,Cartridge,,,588
Entry-589-349,"they metwith Det. Armiger, who tookcustodyofthe purchased Cannabis. Det. Armigerthen tooktheCannabis backto the Harford County DrugTask Force Office, where itwas packaged and secured in theSpecial Investigations Division Property Room. Det. Armigerwill transportthe",Likely Cannabis,,,589
Entry-589-350,"Det. Armigerthen tooktheCannabis backto the Harford County DrugTask Force Office, where itwas packaged and secured in theSpecial Investigations Division Property Room. Det. Armigerwill transportthe",Likely Cannabis,,,589
at 1215,"suspected Cannabis to the Alcohol, Tobacco, and Cannabis Commission, located at 1215 E. Fort Ave. #300,",Likely Cannabis,,,589
EV-25,1 Tan & ClearBag Containing a Green Leafy Substance EV-25-1863,Flower,,,595
Entry-596-353,Tan & ClearBag Containing Suspected Cannabis 1 1 t----···--··· ·-···- OYes OYes - -· $30 E [ZINo 00No ·-· Approx?ate Weight= 3.5 Grams ...,Likely Cannabis,3.5,,596
Entry-596-354,2 1 Susoected Cannabis OYes OVes ·- $25 E IK]No IZ) No ApproximateWeight= 3.5 Grams .. OVes Oves ···- ONo ONo,Likely Cannabis,3.5,,596
Entry-600-355,"1 GreenZiplocStyleBag labeled""KosherKushGelato42Hybrid""ContainingSuspectedCannabisEV-25-2454 2 BlueZiplocStyleBagLabeled""DesertStardustMushroomGummies""ContainingSuspectedPsllocybinEV-25-2455",Edible,,,600
Entry-600-356,"2 BlueZiplocStyleBagLabeled""DesertStardustMushroomGummies""ContainingSuspectedPsllocybinEV-25-2455",Edible,,,600
Entry-601-357,"e ontroIl e d D an:?erous s u b s tanees - CDS HarfordCountySheriff'sOffice I J. Sabm1ttlJlgManber: 2. IDNo: 13. Shll\Aul¡no,coc: 1 ·?;;?;;rd: I s.?;;???777",Concentrate,,,601
Entry-601-358,"1 1 .... ""Gelato 42 H}'.brid"" containing susoected Cannabis $30 E Œ O !N V o es O Œ!N Y o es -?------·-- ---·- ApproximateWeight- 3.5 Grams ..ß.Jua.zipJiu¡_st){le_b.aggj.e...lslJ?.?led ""RoadTrip"" 2 1 __""DesertStardust Mushroom Gummies"" -· $25 E O [il v N e o s l 0 î Y lN e o s ApproximateWeight> 8 G",Edible,3.5,,601
Entry-601-359,"2 1 __""DesertStardust Mushroom Gummies"" -· $25 E O [il v N e o s l 0 î Y lN e o s ApproximateWeight> 8 Gummies Oves 0Yes ··- 0No 0No ApproximateWeight=",Edible,,,601
Entry-601-360,ApproximateWeight> 8 Gummies Oves 0Yes ··- 0No 0No ApproximateWeight= Oves 0Yes,Edible,,,601
Entry-610-362,"totalof2,094.15grams ofTHC",Likely Cannabis,94.15,,610
Entry-610-364,ofTHC,Likely Cannabis,,,610
Entry-610-366,grams ofTHC,Likely Cannabis,,,610
Entry-610-368,containing 1.314.5grams ofTHC,Likely Cannabis,314.5,,610
Entry-610-370,containing956 grams ofTHC,Likely Cannabis,,,610
Entry-610-372,956grams ofTHC,Likely Cannabis,956.0,,610
s,• Dabs -39 items containing 71grams ofTHC,Concentrate,71.0,,610
s,• Carts-100 items containing 200 grams ofTHC,Cartridge,200.0,,610
s,"• Pre-Rolled ""Joints"" -799 items containing 1.314.5grams ofTHC",Preroll,314.5,,610
s,• Prepackaged Flower - 113 items containing956 grams ofTHC,Likely Cannabis,,,610
s,• Raw Flower- 16items containing 956grams ofTHC,Likely Cannabis,956.0,,610
scontaininga,"• Gummies - 654Itemscontaininga totalof2,094.15grams ofTHC",Edible,94.15,,610
3,"Item #3 was THC related products. Detective Buettner seized 1,504 THC related products fromthe store.",Likely Cannabis,,,632
Entry-632-375,THC count. Belowis amoredetailed breakdown ofthe THC count;,Likely Cannabis,,,632
s,"Intotal, 4,905.77 grams ofTHC was seized from the business. These items ranged fromvarious edibles, vapes,",Edible,905.77,the business,632
s,"• Gummies - 654 items containing atotal of2,094.15 grams ofTHC",Edible,94.15,,632
s,• Dabs- 39 items containing 71 grams ofTHC,Concentrate,71.0,,632
s,• Carts - 100 items containing 200 grams ofTHC,Cartridge,200.0,,632
s,"• Pre-Rolled""Joints"" - 799 items containing 1.314.5 grams ofTHC",Preroll,314.5,,632
s,• Raw Flower- 16 items containing 956 grams ofTHC 20500121192 Page3 632,Likely Cannabis,956.0,,632
scontaining,• Prepackaged Flower- 113 itemscontaining 956 grams ofTHC,Likely Cannabis,956.0,,632
Entry-633-382,(Example ofGummies seized),Edible,,,633
Entry-655-383,Description : PLASTICTUBECONTAININGCANNABIS I 655 Print Date: 06/23/2025 21:53 Page 7of7,Likely Cannabis,,,655
Entry-656-384,"1 Zip-lock bag with a plastic bag containing suspected Psilocybin gummieslt·l?• ?7l 2 Zip-Lock bag with suspected Cannabis f'JI. J<· ?6 7a 3 Zip- Lock bag with a package containing suspected THC edibles!V·l$""·_J,1.3 4 Zip-Lock bag with a box containing suspected THC vape cartridge¡.y-?.2.'1')L{ 5 Zi",Cartridge,,,656
Entry-656-385,"2 Zip-Lock bag with suspected Cannabis f'JI. J<· ?6 7a 3 Zip- Lock bag with a package containing suspected THC edibles!V·l$""·_J,1.3 4 Zip-Lock bag with a box containing suspected THC vape cartridge¡.y-?.2.'1')L{ 5 Zip-Lock bag with plastictube containing suspected Cannabis Bl·?S. ,.,16",Cartridge,,,656
Entry-656-386,"3 Zip- Lock bag with a package containing suspected THC edibles!V·l$""·_J,1.3 4 Zip-Lock bag with a box containing suspected THC vape cartridge¡.y-?.2.'1')L{ 5 Zip-Lock bag with plastictube containing suspected Cannabis Bl·?S. ,.,16",Cartridge,,,656
Entry-656-387,"4 Zip-Lock bag with a box containing suspected THC vape cartridge¡.y-?.2.'1')L{ 5 Zip-Lock bag with plastictube containing suspected Cannabis Bl·?S. ,.,16",Cartridge,,,656
Entry-656-388,"5 Zip-Lock bag with plastictube containing suspected Cannabis Bl·?S. ,.,16",Likely Cannabis,,,656
is,Each item is a sample of a larger batch perthattype ofsuspected CDS,Likely Cannabis,,,656
Entry-662-390,"cannabis. Afterthe sale, Detective Scrogginsreturnedto his covertvehicle andtransportedthe Cannabisto the Harford County DrugTask Force Office forprocessing. Nothing furtherto reportatthis time. Corporal Deasel#984",Likely Cannabis,,,662
Entry-662-391,"Afterthe sale, Detective Scrogginsreturnedto his covertvehicle andtransportedthe Cannabisto the Harford County DrugTask Force Office forprocessing. Nothing furtherto reportatthis time. Corporal Deasel#984 SergeantSives#835",Likely Cannabis,,,662
EV-25,1 Popart Bag Containing Suspected Cannabis EV-25-1242,Likely Cannabis,,,663
Entry-664-394,"Cannabis thatwaspurchased fromTobaccoTownonTuesday, March 181\ 2025, testedforTetrahydrocannabinol (THC} content. DetectiveArmigermetwithAgentMangold, who wouldconduct the test. Toe cannabiswas testedutilizing the LightLab 3 Cannabis Analyzer. Asaresult ofthetest,thepurchased Cannabis testedata t 'H",Likely Cannabis,,,664
Entry-664-395,"DetectiveArmigermetwithAgentMangold, who wouldconduct the test. Toe cannabiswas testedutilizing the LightLab 3 Cannabis Analyzer. Asaresult ofthetest,thepurchased Cannabis testedata t 'HC levelof10.7% THC, which is higherthanthelegal limitof2.5?%, whichisallo?wablebyMarylandstate law. easese attache",Likely Cannabis,,,664
Entry-664-396,"LightLab 3 Cannabis Analyzer. Asaresult ofthetest,thepurchased Cannabis testedata t 'HC levelof10.7% THC, which is higherthanthelegal limitof2.5?%, whichisallo?wablebyMarylandstate law. easese attached results for specific details. f I?",Likely Cannabis,,,664
Entry-676-400,"safekeeping. Detective Armigerwill transportthe Cannabistothe MarylandCannabisCommission, whereit will be analyzed and asupplementwill beperformed. This investigation is ongoing. Detective P. Armiger#160 Corporal Wolfe#592 SergeantDeveau #497 Page 1",Likely Cannabis,,,676
MD 21040,"Supplement 7 Grams Cannabis 1711 Pulaski Highway, Edgewood, MD 21040",Likely Cannabis,7.0,,676
On 02,"On 02/26/2025 atapproximately 1300 hrs., DetectiveArmiger#160 madecontactwithCl#1378forthepurposeof",Likely Cannabis,,,676
room,"Onceback atthe Task Force Office,Detective Armigerplaced theCannabis in the locked evidenceroom for safekeeping. Detective Armigerwill transportthe Cannabistothe MarylandCannabisCommission, whereit will be analyzed and asupplementwill beperformed. This investigation is ongoing. Detective P. Armiger#",Likely Cannabis,,,676
Entry-677-401,"1 Multi-ColorContainerLabeled""Curevana Delta 10THCFlower""ContainingaLeafyGreenSubstanceEV-25-1082 Theundersignedherebycertifiesthattheabovelistedevídeocesubmittedinthiscase,whilelncustody,remainedandwasdeliveredtotheperson/locationIndicated onthedateandtime statedlnessentfalfythesameconditionaswhenr",Likely Cannabis,,Indicated onthedateandtime sta,677
Entry-678-402,"?urevana Brand Delta 1O THC Flower I [] [] 530.00 ? ??s ??s ----· ,..., _ n,·--• i-------i?-----i ApproximateWeight- 11 (.;,rams I ·-····-· 0Ycs OYes",Likely Cannabis,,,678
Entry-683-403,"1 BlueZîplocStyle Bag labeled""Cannabis Flower"" containingSuspected Cannabis 2 Blue ZiplocStyleBag labeled""DesertStardust Mushroom Gummíes""suspected Psilocybin",Flower,,,683
Entry-684-404,"Blue Ziploc ?-?e Bag?ie labeled ""CannabisFlower""··- 1 1 . containing suspected Cannabis Oves Oves $30 E ?No Œ!No ,-... ApproximateWeight= 3.5Grams ..---· -8.luazip.loc...sMe...baggj.e._1ª_b?l?d ""Road Trip""",Likely Cannabis,3.5,,684
Entry-684-405,"1 1 . containing suspected Cannabis Oves Oves $30 E ?No Œ!No ,-... ApproximateWeight= 3.5Grams ..---· -8.luazip.loc...sMe...baggj.e._1ª_b?l?d ""Road Trip"" 2 1 ""Desert StardustMushroom Gummies"" Oves OVes",Edible,3.5,,684
Entry-684-406,"2 1 ""Desert StardustMushroom Gummies"" Oves OVes --··· $25 E !XINo lî]No ApproximateWeight= 8 Gummies - OVes Oves ·- -·-·-· 0No 0No",Edible,,,684
Entry-684-407,ApproximateWeight= 8 Gummies - OVes Oves ·- -·-·-· 0No 0No ApproximateWeight= ·-· O Yes Oves,Edible,,,684
Entry-687-408,"Afterthe sale, Detective ...,..,rogginsreturnedto hiscovertvehicle a.?-.. eventuallytransported the Cannabis to the Harford County Drug TaskForce Officeforprocessing. Nothing further to reportatthis time. Page2 687",Likely Cannabis,,,687
Entry-693-409,"• 2918.3 gramsTHC • 616.6grams Psilocybin This report is in reference to a search and seizure warrant that was conducted at Tobacco Town, located at",Likely Cannabis,616.6,,693
Entry-693-410,"THC and Psilocybin products illegally in Harford County, Maryland.",Likely Cannabis,,,693
Entry-694-411,"Tobacco Townhad a vast array ofTHC andpsilocybin products throughout thebusiness to includepre rolled suspectedmarihuana""blunts"", ""suspected THC gummies"", ""suspected THCvapes"", suspected loose marihuana, and suspectedpsilocybin. Page2 694",Edible,,,694
Entry-694-412,"rolled suspectedmarihuana""blunts"", ""suspected THC gummies"", ""suspected THCvapes"", suspected loose marihuana, and suspectedpsilocybin. Page2 694",Edible,,,694
Entry-694-413,"marihuana, and suspectedpsilocybin. Page2 694",Likely Cannabis,,,694
Entry-696-414,• 2918.3gramsTHC • 616.6grams Psilocybin,Likely Cannabis,616.6,,696
Entry-703-415,"1 Don't panic, it's organic cannibis flower, suspected marihuana 2 Muffins pre-roll vanilla bean dream, suspected marihuana 3 THC-O Gummies 2 pack, suspected THC 4 Modus Platnium blend diamond sauce CB9A + THC-P, suspectedTHC 5 Road trip desert stardust mushroom gummies, suspected Psilocybin",Edible,,,703
